Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:11.209000,NOR,1,,1.0,1.0,0 days 00:16:54.076000,,,0 days 00:00:23.812000,0 days 00:01:02.768000,,0 days 00:18:08.505000,0 days 00:19:11.209000,234.0,234.0,102.0,96.0,False,MEDIUM,1.0,True,McLaren,0 days 00:16:54.076000,,126,,False,,False,False
0 days 00:29:43.009000,NOR,1,,2.0,1.0,,0 days 00:20:55.812000,0 days 00:00:40.404000,0 days 00:00:20.046000,,0 days 00:19:51.717000,0 days 00:20:11.660000,,249.0,291.0,,176.0,False,MEDIUM,2.0,True,McLaren,0 days 00:19:11.209000,,671,,False,,False,False
0 days 00:36:45.110000,NOR,1,,3.0,2.0,0 days 00:29:43.009000,0 days 00:31:29.117000,0 days 00:00:43.538000,0 days 00:00:22.121000,,0 days 00:30:23.331000,0 days 00:30:45.342000,,232.0,276.0,,190.0,False,MEDIUM,3.0,False,McLaren,0 days 00:29:43.009000,,1,,False,,False,False
0 days 00:38:26.521000,NOR,1,0 days 00:01:41.411000,4.0,3.0,0 days 00:36:47.809000,,0 days 00:00:40.252000,0 days 00:00:20.724000,0 days 00:00:40.435000,0 days 00:37:25.362000,0 days 00:37:46.086000,0 days 00:38:26.521000,237.0,263.0,293.0,189.0,False,MEDIUM,4.0,False,McLaren,0 days 00:36:45.110000,,1,,False,,False,False
0 days 00:39:51.427000,NOR,1,0 days 00:01:24.906000,5.0,3.0,,,0 days 00:00:29.609000,0 days 00:00:18.321000,0 days 00:00:36.976000,0 days 00:38:56.130000,0 days 00:39:14.451000,0 days 00:39:51.427000,262.0,265.0,276.0,282.0,True,MEDIUM,5.0,False,McLaren,0 days 00:38:26.521000,,1,,False,,False,True
0 days 00:41:15.818000,NOR,1,0 days 00:01:24.391000,6.0,3.0,,,0 days 00:00:29.862000,0 days 00:00:18.361000,0 days 00:00:36.168000,0 days 00:40:21.289000,0 days 00:40:39.650000,0 days 00:41:15.818000,264.0,289.0,286.0,233.0,True,MEDIUM,6.0,False,McLaren,0 days 00:39:51.427000,,1,,False,,False,True
0 days 00:42:58.242000,NOR,1,,7.0,3.0,,0 days 00:42:58.242000,0 days 00:00:29.637000,0 days 00:00:25.959000,,0 days 00:41:45.798000,0 days 00:42:11.610000,,195.0,193.0,,260.0,False,MEDIUM,7.0,False,McLaren,0 days 00:41:15.818000,,1,,False,,False,False
0 days 00:17:28.745000,VER,3,0 days 00:02:04.309000,1.0,1.0,0 days 00:15:29.473000,,0 days 00:00:58.007000,0 days 00:00:22.645000,0 days 00:00:43.657000,0 days 00:16:22.667000,0 days 00:16:45.231000,0 days 00:17:28.897000,234.0,254.0,274.0,146.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:29.473000,,12,,False,,False,False
0 days 00:19:13.318000,VER,3,0 days 00:01:44.573000,2.0,1.0,,,0 days 00:00:31.865000,0 days 00:00:18.298000,0 days 00:00:54.410000,0 days 00:18:00.610000,0 days 00:18:18.908000,0 days 00:19:13.318000,244.0,277.0,116.0,213.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:28.745000,,26,,False,,False,False
0 days 00:21:08.899000,VER,3,0 days 00:01:55.581000,3.0,1.0,,,0 days 00:00:46.488000,0 days 00:00:23.017000,0 days 00:00:46.076000,0 days 00:19:59.806000,0 days 00:20:22.823000,0 days 00:21:08.899000,210.0,246.0,274.0,147.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:19:13.318000,,671,,False,,False,False
0 days 00:22:31.819000,VER,3,0 days 00:01:22.920000,4.0,1.0,,,0 days 00:00:29.225000,0 days 00:00:17.878000,0 days 00:00:35.817000,0 days 00:21:38.124000,0 days 00:21:56.002000,0 days 00:22:31.819000,246.0,280.0,287.0,291.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:08.899000,,1,,False,,False,True
0 days 00:25:02.820000,VER,3,,5.0,1.0,,,0 days 00:01:08.827000,0 days 00:00:23.938000,0 days 00:00:58.213000,0 days 00:23:40.831000,0 days 00:24:04.760000,0 days 00:25:02.820000,216.0,205.0,275.0,207.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:22:31.819000,,1,,False,,False,False
0 days 00:26:25.125000,VER,3,0 days 00:01:22.305000,6.0,1.0,,,0 days 00:00:29.148000,0 days 00:00:17.841000,0 days 00:00:35.316000,0 days 00:25:31.968000,0 days 00:25:49.809000,0 days 00:26:25.125000,246.0,282.0,284.0,282.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:25:02.820000,,1,,False,,False,True
0 days 00:28:34.466000,VER,3,0 days 00:02:09.341000,7.0,1.0,,,0 days 00:00:41.316000,0 days 00:00:27.488000,0 days 00:01:00.537000,0 days 00:27:06.441000,0 days 00:27:33.929000,0 days 00:28:34.466000,189.0,128.0,276.0,215.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:26:25.125000,,1,,False,,False,True
0 days 00:30:12.436000,VER,3,0 days 00:01:37.970000,8.0,1.0,,,0 days 00:00:33.394000,0 days 00:00:23.270000,0 days 00:00:41.306000,0 days 00:29:07.860000,0 days 00:29:31.130000,0 days 00:30:12.436000,207.0,235.0,278.0,294.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:28:34.466000,,1,,False,,False,True
0 days 00:31:34.743000,VER,3,0 days 00:01:22.307000,9.0,1.0,,,0 days 00:00:28.936000,0 days 00:00:17.887000,0 days 00:00:35.484000,0 days 00:30:41.372000,0 days 00:30:59.259000,0 days 00:31:34.743000,244.0,279.0,284.0,293.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:30:12.436000,,1,,False,,False,True
0 days 00:34:34.771000,VER,3,,10.0,1.0,,0 days 00:34:06.567000,0 days 00:01:22.771000,0 days 00:00:27.150000,0 days 00:01:10.169000,0 days 00:32:57.452000,0 days 00:33:24.802000,0 days 00:34:34.841000,188.0,143.0,,210.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:31:34.743000,,1,,False,,False,False
0 days 00:36:20.351000,VER,3,0 days 00:01:45.580000,11.0,2.0,0 days 00:34:36.821000,,0 days 00:00:39.142000,0 days 00:00:20.656000,0 days 00:00:45.782000,0 days 00:35:13.913000,0 days 00:35:34.569000,0 days 00:36:20.351000,240.0,260.0,278.0,168.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:34:34.771000,,1,,False,,False,False
0 days 00:37:41.754000,VER,3,0 days 00:01:21.403000,12.0,2.0,,,0 days 00:00:28.648000,0 days 00:00:17.806000,0 days 00:00:34.949000,0 days 00:36:48.999000,0 days 00:37:06.805000,0 days 00:37:41.754000,245.0,280.0,287.0,296.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 00:36:20.351000,,1,,False,,False,True
0 days 00:47:50.340000,VER,3,,13.0,2.0,,0 days 00:39:16.872000,0 days 00:00:34.656000,0 days 00:00:21.523000,,0 days 00:38:16.672000,0 days 00:38:38.210000,,234.0,252.0,,237.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:37:41.754000,,1,,False,,False,False
0 days 00:49:33.487000,VER,3,0 days 00:01:43.147000,14.0,3.0,0 days 00:47:52.307000,,0 days 00:00:39.606000,0 days 00:00:22.331000,0 days 00:00:41.210000,0 days 00:48:29.946000,0 days 00:48:52.277000,0 days 00:49:33.487000,240.0,266.0,279.0,188.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:50.340000,,1,,False,,False,False
0 days 00:50:54.395000,VER,3,0 days 00:01:20.908000,15.0,3.0,,,0 days 00:00:28.394000,0 days 00:00:17.739000,0 days 00:00:34.775000,0 days 00:50:01.881000,0 days 00:50:19.620000,0 days 00:50:54.395000,252.0,286.0,290.0,295.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:49:33.487000,,1,,False,,False,True
0 days 00:53:07.959000,VER,3,0 days 00:02:13.564000,16.0,3.0,,0 days 00:52:48.807000,0 days 00:00:42.072000,0 days 00:00:26.164000,0 days 00:01:05.328000,0 days 00:51:36.467000,0 days 00:52:02.631000,0 days 00:53:07.959000,193.0,234.0,,196.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:50:54.395000,,1,,False,,False,False
0 days 00:54:59.193000,VER,3,0 days 00:01:51.234000,17.0,4.0,0 days 00:53:09.983000,,0 days 00:00:41.522000,0 days 00:00:21.415000,0 days 00:00:48.297000,0 days 00:53:49.481000,0 days 00:54:10.896000,0 days 00:54:59.193000,228.0,265.0,279.0,145.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:53:07.959000,,1,,False,,False,False
0 days 00:56:19.982000,VER,3,0 days 00:01:20.789000,18.0,4.0,,,0 days 00:00:28.362000,0 days 00:00:17.673000,0 days 00:00:34.754000,0 days 00:55:27.555000,0 days 00:55:45.228000,0 days 00:56:19.982000,250.0,288.0,293.0,296.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:54:59.193000,,1,,False,,False,True
0 days 01:06:26.205000,VER,3,,19.0,4.0,,0 days 00:57:56.178000,0 days 00:00:35.845000,0 days 00:00:21.604000,,0 days 00:56:56.036000,0 days 00:57:17.593000,,227.0,258.0,,193.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:56:19.982000,,126,,False,,False,False
0 days 01:08:08.835000,VER,3,0 days 00:01:42.630000,20.0,5.0,0 days 01:06:28.626000,,0 days 00:00:40.394000,0 days 00:00:18.757000,0 days 00:00:43.479000,0 days 01:07:06.599000,0 days 01:07:25.356000,0 days 01:08:08.835000,227.0,293.0,289.0,193.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:06:26.205000,,671,,False,,False,False
0 days 01:09:34.588000,VER,3,0 days 00:01:25.753000,21.0,5.0,,,0 days 00:00:30.613000,0 days 00:00:18.583000,0 days 00:00:36.557000,0 days 01:08:39.448000,0 days 01:08:58.031000,0 days 01:09:34.588000,251.0,294.0,295.0,281.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:08:08.835000,,1,,False,,False,True
0 days 01:10:59.434000,VER,3,0 days 00:01:24.846000,22.0,5.0,,,0 days 00:00:29.728000,0 days 00:00:18.556000,0 days 00:00:36.562000,0 days 01:10:04.316000,0 days 01:10:22.872000,0 days 01:10:59.434000,245.0,295.0,302.0,287.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:09:34.588000,,1,,False,,False,True
0 days 01:12:24.277000,VER,3,0 days 00:01:24.843000,23.0,5.0,,,0 days 00:00:29.671000,0 days 00:00:18.528000,0 days 00:00:36.644000,0 days 01:11:29.105000,0 days 01:11:47.633000,0 days 01:12:24.277000,243.0,293.0,291.0,299.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:10:59.434000,,1,,False,,False,True
