Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-03-06 01:15:21,Other,RISK OF RAIN FOR F1 FREE PRACTICE 1 IS 0%,,,,,,
2026-03-06 01:16:44,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2026-03-06 01:18:58,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2026-03-06 01:19:02,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-03-06 01:19:27,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2026-03-06 01:19:32,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2026-03-06 01:19:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
2026-03-06 01:19:40,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2026-03-06 01:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-03-06 01:32:11,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2026-03-06 01:33:27,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-03-06 01:33:48,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2026-03-06 01:34:36,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2026-03-06 01:34:41,SafetyCar,VSC ENDING,ENDING,,,,,
2026-03-06 01:34:44,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2026-03-06 01:34:53,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-03-06 01:34:57,Other,OVERTAKE ENABLED,,,,,,
2026-03-06 01:38:04,Other,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 2 12:33:11 (PIT),,,,,,
2026-03-06 01:40:12,Other,CAR 63 (RUS) TIME 1:58.425 DELETED - TRACK LIMITS AT TURN 9 LAP 5 12:38:18,,,,,,
2026-03-06 01:44:03,Other,CAR 3 (VER) TIME 2:30.978 DELETED - TRACK LIMITS AT TURN 4 LAP 6 12:38:29,,,,,,
2026-03-06 01:47:25,Other,CAR 12 (ANT) TIME 2:18.477 DELETED - TRACK LIMITS AT TURN 4 LAP 9 12:45:13,,,,,,
2026-03-06 01:54:02,Other,CAR 31 (OCO) TIME 1:53.563 DELETED - TRACK LIMITS AT TURN 10 LAP 13 12:51:46,,,,,,
2026-03-06 01:56:17,Other,CAR 55 (SAI) TIME 1:32.482 DELETED - TRACK LIMITS AT TURN 10 LAP 11 12:55:23,,,,,,
2026-03-06 01:57:21,Other,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 12 12:55:31 (PIT),,,,,,
2026-03-06 02:02:23,Other,CAR 55 (SAI) TIME 1:23.141 DELETED - TRACK LIMITS AT TURN 12 LAP 15 13:01:56,,,,,,
2026-03-06 02:13:32,Other,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 18 13:11:21 (PIT),,,,,,
2026-03-06 02:16:18,Other,CAR 87 (BEA) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 20 13:14:51 (PIT),,,,,,
2026-03-06 02:16:37,Other,CAR 44 (HAM) TIME 1:43.234 DELETED - TRACK LIMITS AT TURN 3 LAP 23 13:14:58,,,,,,
2026-03-06 02:17:51,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2026-03-06 02:18:42,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-03-06 02:19:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2026-03-06 02:19:28,Other,MARSHALS ON TRACK AT TURN 10,,,,,,
2026-03-06 02:19:55,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2026-03-06 02:21:24,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2026-03-06 02:21:27,SafetyCar,VSC ENDING,ENDING,,,,,
2026-03-06 02:21:39,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-03-06 02:21:40,Other,OVERTAKE ENABLED,,,,,,
2026-03-06 02:25:15,Other,CAR 11 (PER) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 15 13:23:35 (PIT),,,,,,
2026-03-06 02:28:31,Other,CAR 87 (BEA) TIME 2:27.404 DELETED - TRACK LIMITS AT TURN 9 LAP 23 13:27:24,,,,,,
2026-03-06 02:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-03-06 02:30:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 87 (BEA),,,,,,
2026-03-06 02:36:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2026-03-06 02:45:30,Other,RISK OF RAIN FOR F3 QUALIFYING IS 0%,,,,,,
