Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:03.099000,20.1,73.2,1015.0,False,33.2,34,0.6
0 days 00:01:03.102000,20.2,72.9,1015.1,False,33.9,15,1.2
0 days 00:02:03.101000,20.2,72.3,1015.0,False,33.3,75,1.3
0 days 00:03:03.107000,20.1,73.2,1015.0,False,32.9,6,0.3
0 days 00:04:03.112000,20.2,73.4,1015.0,False,32.4,95,1.7
0 days 00:05:03.133000,20.2,73.0,1015.0,False,33.5,24,0.5
0 days 00:06:03.146000,20.3,72.3,1015.0,False,33.8,1,0.7
0 days 00:07:03.176000,20.3,72.3,1014.9,False,33.9,345,2.2
0 days 00:08:03.173000,20.3,72.4,1014.9,False,33.8,57,1.2
0 days 00:09:03.204000,20.4,72.2,1015.0,False,35.0,57,0.7
0 days 00:10:03.204000,20.4,71.8,1014.9,False,34.6,118,1.5
0 days 00:11:03.220000,20.4,71.2,1014.9,False,33.8,43,2.5
0 days 00:12:03.234000,20.5,70.4,1014.8,False,34.0,109,2.2
0 days 00:13:03.230000,20.5,70.8,1014.9,False,33.9,59,1.6
0 days 00:14:03.235000,20.4,72.0,1014.8,False,35.0,91,1.5
0 days 00:15:03.234000,20.4,72.5,1014.8,False,34.2,99,0.3
0 days 00:16:03.227000,20.5,71.7,1014.9,False,33.9,92,2.2
0 days 00:17:03.243000,20.6,71.7,1014.8,False,33.5,58,1.8
0 days 00:18:03.237000,20.5,71.8,1014.8,False,34.7,2,1.4
0 days 00:19:03.241000,20.4,71.8,1014.7,False,33.6,69,1.7
0 days 00:20:03.234000,20.5,71.7,1014.7,False,33.7,86,0.8
0 days 00:21:03.233000,20.5,72.1,1014.7,False,33.6,16,1.5
0 days 00:22:03.234000,20.7,71.1,1014.8,False,33.7,348,3.6
0 days 00:23:03.245000,20.6,71.4,1014.7,False,34.5,329,1.5
0 days 00:24:03.237000,20.6,72.2,1014.7,False,34.7,127,1.1
0 days 00:25:03.242000,20.7,72.3,1014.8,False,34.4,100,2.1
0 days 00:26:03.238000,20.7,71.7,1014.7,False,34.8,59,0.6
0 days 00:27:03.251000,20.8,71.1,1014.7,False,34.8,104,2.0
0 days 00:28:03.249000,20.7,71.3,1014.7,False,34.7,71,2.2
0 days 00:29:03.237000,20.6,71.9,1014.7,False,35.1,92,2.6
0 days 00:30:03.254000,20.6,71.0,1014.6,False,34.4,75,2.3
0 days 00:31:03.252000,20.7,70.6,1014.6,False,34.5,108,1.0
